rank,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
142,[Alexandros],閃光,Universal Music LLC,76,133,43,31825,0.546,0.964,5,-3.923,0,0.057,0.000124,3.43e-06,0.0802,0.481,104.057,265467,4
143,Tokyo Incidents,毒味,Universal Music LLC,143,-1,1,31628,0.576,0.878,6,-3.833,1,0.0623,0.00241,0.0371,0.379,0.621,99.041,243680,4
144,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),Interscope Records*,116,134,70,31278,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395,4
145,Reol,第六感,CONNECTONE,54,141,304,31251,0.675,0.959,7,-1.754,1,0.0835,0.00893,8.48e-05,0.325,0.835,134.017,191625,4
146,P丸様｡,シル・ヴ・プレジデント,STPR Records,115,146,41,31250,0.647,0.9,1,-2.383,1,0.113,0.0237,0.0225,0.314,0.746,175.926,190493,4
147,wacci,別の人の彼女になったよ,Sony Music Labels Inc.,27,139,671,31199,0.528,0.617,2,-5.07,1,0.0263,0.0299,0.0,0.334,0.497,72.023,304813,4
148,Kenshi Yonezu,馬と鹿,Sony Music Labels Inc.,5,142,278,30956,0.643,0.447,3,-6.411,1,0.0256,0.0978,0.0,0.286,0.676,91.019,265333,4
149,ITZY,In the morning,WM Japan,65,145,41,30737,0.847,0.814,11,-4.668,0,0.152,0.0825,0.000507,0.0948,0.711,140.057,172359,4
150,HIRAIDAI,Romeo+Juliet -Love goes on-,avex trax,62,147,118,30640,0.607,0.605,3,-6.05,1,0.159,0.0696,0.0,0.454,0.665,83.913,191474,4
151,King Gnu,三文小説,Sony Music Labels Inc.,12,143,224,30494,0.384,0.487,4,-8.26,0,0.0508,0.641,0.0,0.254,0.0994,88.055,280533,4
152,BTS,Your eyes tell,Universal Music LLC,29,152,331,30366,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923,245147,4
153,BTS,Telepathy,BIGHIT MUSIC,57,155,106,30071,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,202313,4
154,和ぬか,寄り酔い,Wanuka,66,153,115,29832,0.591,0.665,6,-6.525,0,0.153,0.14,0.00103,0.382,0.694,118.195,216959,4
155,Fujii Kaze,青春病,Universal Music LLC,63,149,213,29708,0.665,0.809,1,-6.518,1,0.0443,0.141,8.06e-05,0.322,0.627,108.04,321112,4
156,もさを。,きらきら,Mosawo,55,157,271,29680,0.688,0.753,11,-3.681,1,0.0302,0.376,0.0,0.232,0.622,105.016,180000,4
157,Fujii Kaze,何なんw,Universal Music LLC,63,148,202,29654,0.633,0.729,7,-7.113,1,0.13,0.394,0.000164,0.144,0.69,89.851,320640,4
158,GReeeeN,キセキ,Universal Music LLC,19,158,1588,29498,0.641,0.618,0,-4.269,1,0.0259,0.0932,0.0,0.155,0.338,90.032,271160,4
159,Kenshi Yonezu,ピースサイン,Sony Music Labels Inc.,24,156,270,29396,0.593,0.935,10,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.003,238533,4
160,Gen Hoshino,創造,Speedstar,32,151,114,29377,0.724,0.808,10,-4.877,0,0.0756,0.00617,0.000199,0.315,0.836,95.007,234167,4
161,Yorushika,だから僕は音楽を辞めた,U&R records,51,163,779,29136,0.65,0.88,4,-5.326,1,0.0283,0.36,0.00369,0.23,0.921,124.985,242913,4
162,"STUTS, Takako Matsu, Daichi Yamamoto, 松田龍平, 3exes",Presence IV,Sony Music Labels Inc.,162,-1,1,29070,0.469,0.706,6,-5.911,0,0.122,0.375,2.96e-05,0.0819,0.294,92.987,250516,4
163,back number,エメラルド,Universal Music LLC,51,159,241,28969,0.553,0.831,1,-4.425,0,0.0651,0.000803,0.0,0.0953,0.47,130.879,223240,4
164,Fujii Kaze,優しさ,Universal Music LLC,52,154,416,28932,0.598,0.706,1,-6.827,1,0.0491,0.11,0.0,0.0925,0.262,133.847,240080,4
